Organization Name,Partner Type,Address,City,State/Province,Zip/Postal Code,PFP Web Page,Latitude,Longitude
Regional Animal Services of King County,Shelter Partner,21615 64th Ave S,Kent,Washington,98032,http://petsforpatriots.org/partners/regional-animal-services-of-king-county/,47.407787,-122.2552009
Humane Society of the Nature Coast,Shelter Partner,7200 Mobley Rd.,Brooksville,Florida,34601,http://petsforpatriots.org/partners/humane-society-of-the-nature-coast/,28.534335,-82.424436
Rescue Animals in Need,Shelter Partner,PO Box 60935,Fort Myers,Florida,33906,http://petsforpatriots.org/partners/rescue-animals-in-need/,26.59347,-81.85745
Fuzzy Pawz Rescue,Shelter Partner,"3725 Gekeler Ln
#57",Boise,Idaho,83706,http://petsforpatriots.org/partners/fuzzy-pawz-rescue/,43.59422,-116.19862
Faithful Friends Animal Society,Shelter Partner,12 Germay Drive,Wilmington,Delaware,19804,http://petsforpatriots.org/partners/faithful-friends-animal-society/,39.729935,-75.579311
Kirby Animal Care Services,Shelter Partner,5503 Duffek Drive,Kirby,Texas,78219,http://petsforpatriots.org/partners/kirby-animal-care-services/,29.45769188,-98.38228139
Humane Society of Indianapolis,Shelter Partner,7929 N. Michigan Road,Indianapolis,Indiana,46268,http://petsforpatriots.org/partners/humane-society-of-indianapolis/,39.8982911,-86.2146601
Baltimore County Animal Services,Shelter Partner,13800 Manor Road,Baldwin,Maryland,21013,http://petsforpatriots.org/partners/baltimore-county-animal-shelter/,39.500679,-76.530958
Gulf Coast Humane Society,Shelter Partner,2010 Arcadia Street,Fort Myers,Florida,33916,http://petsforpatriots.org/partners/gulf-coast-humane-society/,26.640334,-81.826469
Pasadena Humane Society & SPCA,Shelter Partner,361 S. Raymond Ave,Pasadena,California,91105,http://petsforpatriots.org/partners/pasadena-humane-society-spca/,34.139648,-118.149255
Pasco County Animal Services,Shelter Partner,19640 Dogpatch Lane,Land O Lakes,Florida,34638,http://petsforpatriots.org/partners/pasco-county-animal-services/,28.2167345,-82.4906214
Underdog Rescue of AZ,Shelter Partner,PO Box 13392,Chandler,Arizona,85248,http://petsforpatriots.org/partners/underdog-rescue-of-az/,33.25599,-111.88332
Salt Lake County Animal Services,Shelter Partner,511 W 3900 S,Salt Lake City,Utah,84123,http://petsforpatriots.org/partners/salt-lake-county-animal-services/,40.686327,-111.906429
Paws In the City,Shelter Partner,Mail only: 3824 Cedar Springs Rd. #360,Dallas,Texas,75219,http://petsforpatriots.org/partners/paws-in-the-city/,32.810354,-96.809335
Stray Rescue of St Louis,Shelter Partner,2320 Pine St.,St Louis,Missouri,63103,http://petsforpatriots.org/partners/stray-rescue-of-st-louis/,38.632033,-90.213402
Dumb Friends League,Shelter Partner,2080 S. Quebec Street,Denver,Colorado,80231-3298,http://petsforpatriots.org/partners/dumb-friends-league/,39.679179,-104.901679
Jersey Shore Animal Center,Shelter Partner,185 Brick Blvd,Brick,New Jersey,8723,http://petsforpatriots.org/partners/jersey-shore-animal-center/,40.031818,-74.142089
Anne Arundel County Animal Control,Shelter Partner,411 Maxwell Frye Rd.,Millersville,Maryland,21108,http://petsforpatriots.org/partners/anne-arundel-county-animal-control/,39.09967476,-76.62257926
Portsmouth Humane Society,Shelter Partner,4022 Seaboard Court,Portsmouth,Virginia,23701,http://petsforpatriots.org/partners/portsmouth-humane-society/,36.798118,-76.385817
Humane Society of Missouri St. Louis,Shelter Partner,1201 Macklind Avenue,St. Louis,Missouri,63110,http://petsforpatriots.org/partners/humane-society-of-missouri-st-louis/,38.6263023,-90.2765546
Mobile SPCA,Shelter Partner,620 Zeigler Cir W,Mobile,Alabama,36608,http://petsforpatriots.org/partners/mobile-spca/,30.703427,-88.215161
Humane Society of Missouri Maryland Heights,Shelter Partner,11660 Administration Drive,Maryland Heights,Missouri,63146,http://petsforpatriots.org/partners/humane-society-of-missouri-maryland-heights/,38.700838,-90.428142
LifeLine at Fulton County Animal Services,Shelter Partner,860 Marietta Blvd NW,Atlanta,Georgia,30318,http://petsforpatriots.org/partners/lifeline-at-fulton-county-animal-services/,33.7791274,-84.4283334
Lifeline Animal Project,Shelter Partner,129 Lake Street,Avondale Estates,GA,30002,http://petsforpatriots.org/partners/lifeline-animal-project/,33.77713838,-84.26980267
LifeLine at DeKalb County Animal Services,Shelter Partner,845 Camp Road,Decatur,Georgia,30032,http://petsforpatriots.org/partners/lifeline-at-dekalb-county-animal-services/,33.77109287,-84.24110216
Animal Welfare League of Montgomery County,Shelter Partner,PO Box 7041,Gaithersburg,Maryland,20878,http://petsforpatriots.org/partners/animal-welfare-league-of-montgomery-county/,39.12741,-77.17238
Humane Society of Missouri Chesterfield Valley,Shelter Partner,17357 Edison Avenue,Chesterfield,Missouri,63005,http://petsforpatriots.org/partners/humane-society-of-missouri-chesterfield/,38.66316971,-90.605211
Norfolk SPCA,Shelter Partner,916 Ballentine Boulevard,Norfolk,Virginia,23504,http://petsforpatriots.org/partners/norfolk-spca/,36.853523,-76.24781
Chesapeake Feline Association,Shelter Partner,P.O. Box 743,North East,Maryland,21901,http://petsforpatriots.org/partners/chesapeake-feline-association/,39.5909,-75.94559
Rockbridge SPCA,Shelter Partner,10 Animal Place,Lexington,Virginia,24450,https://petsforpatriots.org/partners/rockbridge-spca/,37.8030342,-79.4264154
DFW Humane Society of Irving,Shelter Partner,4140 Valley View Lane,Irving,Texas,75038,https://petsforpatriots.org/partners/dfw-humane-society-of-irving/,32.862616,-97.017951
Kankakee County Humane Foundation,Shelter Partner,2214 S. State Route 1,Saint Anne,Illinois,60964,https://petsforpatriots.org/partners/kankakee-county-humane-foundation/,41.09028926,-87.72419738
Rochester Animal Services,Shelter Partner,184 Verona Street,Rochester,New York,14608,http://petsforpatriots.org/partners/rochester-animal-services/,43.160794,-77.622093
Last Day Dog Rescue,Shelter Partner,PO Box 51935,Livonia,Michigan,48151-5935,http://petsforpatriots.org/partners/last-day-dog-rescue/,42.36668,-83.38694
Roanoke Valley SPCA,Shelter Partner,"1340 Baldwin Ave., N.E",Roanoke,Virginia,24012,http://petsforpatriots.org/partners/roanoke-valley-spca/,37.2825015,-79.915174
A.D.O.P.T. Pet Shelter,Shelter Partner,420 Industrial Drive,Naperville,Illinois,60563,https://petsforpatriots.org/partners/adopt-pet-shelter/,41.7782912,-88.2154135
Humane Society of Greenwood,Shelter Partner,235 Wilbanks Circle,Greenwood,South Carolina,29649,https://petsforpatriots.org/partners/humane-society-of-greenwood/,34.21050997,-82.13413477
Belleville Area Humane Society,Shelter Partner,1301 S. 11th Street,Belleville,Illinois,62226,https://petsforpatriots.org/partners/belleville-area-humane-society/,38.509806,-90.01257
APA Adoption Center of Missouri,Shelter Partner,1705 S. Hanley Road,St. Louis,Missouri,63144,https://petsforpatriots.org/partners/apa-adoption-center-of-missouri/,38.623821,-90.335915
SPCA of Northeastern North Carolina,Shelter Partner,102 Enterprise Dr.,Elizabeth City,North Carolina,27909,https://petsforpatriots.org/partners/spca-of-northeastern-north-carolina/,36.258915,-76.200577
Action Programs for Animals (APA),Shelter Partner,800 W. Picacho Ave,Las Cruces,New Mexico,88005,http://petsforpatriots.org/partners/action-programs-for-animals/,32.3148347,-106.7906779
West Feliciana Animal Humane Society,Shelter Partner,9946 W Feliciana Parkway,St. Francisville,Louisiana,70775,http://petsforpatriots.org/partners/west-feliciana-animal-humane-society/,30.89323,-91.36469
Humane Society of Sedona,Shelter Partner,2115 Shelby Drive,Sedona,Arizona,86336,http://petsforpatriots.org/partners/humane-society-of-sedona/,34.853486,-111.797374
Paws to Heart Rescue,Shelter Partner,1384 Byberry Road,Bensalem,Pennsylvania,19020,http://petsforpatriots.org/partners/paws-to-heart-rescue/,40.112034,-74.91899
Andy's Friends Cat Rescue & Adoption,Shelter Partner,1520 Ridge Road,Wilmington,Delaware,19809,http://petsforpatriots.org/partners/andys-friends-cat-rescue-adoption/,39.783595,-75.476261
Friends of Strays,Shelter Partner,2911 47th Avenue N,St. Petersburg,Florida,33714,http://petsforpatriots.org/partners/friends-of-strays/,27.81533,-82.672869
Tree House Humane Society,Shelter Partner,1212 W. Carmen,Chicago,Illinois,60640,http://petsforpatriots.org/partners/tree-house-humane-society/,41.974662,-87.660461
Danbury Animal Welfare Society,Shelter Partner,147 Grassy Plain Street,Bethel,Connecticut,6801,http://petsforpatriots.org/partners/danbury-animal-welfare-society/,41.363446,-73.421469
Plaquemines Animal Welfare Society,Shelter Partner,455 F. Edward Herbert Blvd,Belle Chasse,Louisiana,70037,http://petsforpatriots.org/partners/plaquemines-animal-welfare-society/,29.89493466,-89.97965954
Saving Tails Animal Rescue,Shelter Partner,143 Cadycentre #419,Northville,Michigan,48167,http://petsforpatriots.org/partners/saving-tails-animal-rescue/,42.43052362,-83.48295579
Collies Florida Rescue,Shelter Partner,11131 SW 69th Terrace,Miami,Florida,33173,http://petsforpatriots.org/partners/collies-florida-rescue/,25.705025,-80.373312
Alaqua Animal Refuge,Shelter Partner,914 Whitfield Road,Freeport,Florida,32439,http://petsforpatriots.org/partners/alaqua-animal-refuge/,30.4931361,-86.2042471
Detroit Bully Corps,Shelter Partner,100 Lone Pine Trail,Lapeer,Michigan,48446,http://petsforpatriots.org/partners/detroit-bully-corps/,43.008499,-83.298431
Fort Wayne Animal Care & Control,Shelter Partner,3020 Hillegas Road,Fort Wayne,Indiana,46808,city-of-fort-wayne-animal-care-control,41.102744,-85.192073
Special Pals Shelter,Shelter Partner,3830 Greenhouse Road,Houston,Texas,77084,http://petsforpatriots.org/partners/special-pals-shelter/,29.828005,-95.702828
EASEL Animal Rescue League,Shelter Partner,4 Jake Garzio Drive,Ewing,New Jersey,8628,https://petsforpatriots.org/partners/easel-animal-rescue-league/,40.27625939,-74.80169
Monmouth County SPCA - Freehold,Shelter Partner,3710 Rt 9,Freehold,New Jersey,7728,https://petsforpatriots.org/partners/monmouth-county-spca-freehold/,40.255493,-74.299987
Humane Rescue Alliance - Oglethorpe,Shelter Partner,71 Oglethorpe St NW,Washington,DC,20011,https://petsforpatriots.org/partners/humane-rescue-alliance-oglethorpe-st/,38.961372,-77.008475
Humane Rescue Alliance - NY Ave,Shelter Partner,1201 New York Ave NE,Washington,DC,20002,https://petsforpatriots.org/partners/humane-rescue-alliance-new-york-ave/,38.913907,-76.98934
Roughneck Rescue,Shelter Partner,50400 Arkona Road,Belleville,Michigan,48111,http://petsforpatriots.org/partners/roughneck-rescue/,42.1014621,-83.528914
SPCA of the Triad,Shelter Partner,3163 Hines Chapel Road,Greensboro,North Carolina,27405,http://petsforpatriots.org/partners/spca-of-the-triad/,36.126943,-79.725406
Humane Society of Walden,Shelter Partner,2489 Albany Post Road,Walden,New York,12586,http://petsforpatriots.org/partners/humane-society-of-walden/,41.56770842,-74.22486514
Dallas Pets Alive!,Shelter Partner,"18208 Preston Rd
Suite D9 #371",Dallas,Texas,75252,http://petsforpatriots.org/partners/dallas-pets-alive/,32.99382,-96.7905
SOS Animal Rescue,Shelter Partner,P.O. Box 1135,Midland,Michigan,48641-1135,http://petsforpatriots.org/partners/sos-animal-rescue/,43.62337,-84.22674
Allen County SPCA,Shelter Partner,4614 Hanna Street,Fort Wayne,Indiana,46806,http://petsforpatriots.org/partners/allen-county-spca/,41.042248,-85.127451
Humane Society of Columbiana County,Shelter Partner,1825 South Lincoln Ave,Salem,Ohio,44460,http://petsforpatriots.org/partners/humane-society-of-columbiana-county/,40.87936545,-80.84197087
Operation Pets Alive,Shelter Partner,10864 Kuykendahl Rd,The Woodlands,Texas,77381,https://petsforpatriots.org/partners/operation-pets-alive/,30.17179762,-95.54020556
SPCA Suncoast,Shelter Partner,7734 Congress Street,New Port Richey,Florida,34653,https://petsforpatriots.org/partners/spca-suncoast/,28.269845,-82.706278
Chesapeake Humane Society,Shelter Partner,312 N. Battlefield Blvd,Chesapeake,Virginia,23320,https://petsforpatriots.org/partners/chesapeake-humane-society/,36.726915,-76.242062
Paris Animal Welfare Society,Shelter Partner,6 Legion Rd,Paris,Kentucky,40361,https://petsforpatriots.org/partners/paris-animal-welfare-society/,38.22138647,-84.24405447
Lily's Legacy Senior Dog Sanctuary,Shelter Partner,PO Box 751002,Petaluma,California,94975,https://petsforpatriots.org/partners/lilys-legacy-senior-dog-sanctuary/,38.23199,-122.63772
Town of Hempstead Animal Shelter,Shelter Partner,3320 Beltagh Avenue,Wantagh,New York,11793,https://petsforpatriots.org/partners/town-hempstead-animal-shelter/,40.68847586,-73.51546689
Prairie Paws Adoption Center,Shelter Partner,2222 W Warrior Trail,Grand Prairie,Texas,75052,https://petsforpatriots.org/partners/prairie-paws-adoption-center/,32.699263,-97.035416
Humane Society for Greater Savannah,Shelter Partner,7215 Sallie Mood Drive,Savannah,GA,31406,https://petsforpatriots.org/partners/humane-society-for-greater-savannah/,31.999576,-81.094555
Bitter Root Humane Association,Shelter Partner,262 Fairgrounds Road,Hamilton,Montana,59840,https://petsforpatriots.org/partners/bitter-root-humane-association/,46.255741,-114.149765
Destiny for Dogs,Shelter Partner,326 Macy St,West Palm Beach,Florida,33405,https://petsforpatriots.org/partners/destiny-for-dogs/,26.656239,-80.052986
Maddie's Fund,Shelter Partner,"6150 Stoneridge Mall Rd, Suite 125",Pleasanton,California,94588,http://petsforpatriots.org/partners/maddies-fund/,37.69699723,-121.9259289
Anderson Animal Shelter,Shelter Partner,1000 South La Fox,South Elgin,Illinois,60177,http://petsforpatriots.org/partners/anderson-animal-shelter/,41.983479,-88.2983766
SPCA of Solano County,Shelter Partner,2200 Peabody Road,Vacaville,California,95687,https://petsforpatriots.org/partners/spca-of-solano-county/,38.3235,-121.9707048
Humane Society of Decatur & Macon County,Shelter Partner,2890 N. Martin Luther King Jr. Drive,Decatur,Illinois,62526,http://petsforpatriots.org/partners/humane-society-of-decatur-macon-county/,39.87515416,-88.95023052
Living Free Animal Sanctuary,Shelter Partner,54250 Keen Camp Road,Mountain Center,California,92561,http://petsforpatriots.org/partners/living-free-animal-sanctuary/,33.70093578,-116.715534
Humane Society of Wayne County,Shelter Partner,1475 County House Road,Lyons,New York,14489,http://petsforpatriots.org/partners/humane-society-of-wayne-county/,43.063842,-77.042956
HALO Animal Rescue,Shelter Partner,2500 S. 27th Ave.,Phoenix,Arizona,85009,http://petsforpatriots.org/partners/halo-animal-rescue/,33.425056,-112.117983
Michigan Humane Society Westland,Shelter Partner,900 N. Newburgh Road,Westland,Michigan,48185,http://petsforpatriots.org/partners/michigan-humane-society-westland/,42.3151385,-83.4067497
Hudson Valley SPCA,Shelter Partner,940 Little Britain Rd,New Windsor,New York,12553,http://petsforpatriots.org/partners/hudson-valley-spca/,41.486864,-74.084975
Furkids Doraville Cat Shelter,Shelter Partner,2650 Pleasantdale Rd. Suite 8,Doraville,Georgia,30340,https://petsforpatriots.org/partners/furkids-doraville-cat-shelter/,33.91857765,-84.24545475
"Alpharetta Dog Shelter, Sadie?s Place",Shelter Partner,1520 Union Hill Road,Alpharetta,Georgia,30005,https://petsforpatriots.org/partners/furkids-alpharetta-dog-shelter/,34.10405,-84.236788
Animal Protective Foundation,Shelter Partner,53 Maple Avenue,Scotia,New York,12302,http://petsforpatriots.org/partners/animal-protective-foundation/,42.84084806,-73.92816377
Humane Society of Pinellas,Shelter Partner,3040 State Road 590,Clearwater,Florida,33759,http://petsforpatriots.org/partners/humane-society-of-pinellas/,27.982503,-82.721835
Blount County Animal Center,Shelter Partner,233 Currie Avenue,Maryville,Tennessee,37804,http://petsforpatriots.org/partners/blount-county-animal-center/,35.79257207,-83.95017204
Greater Huntsville Humane Society,Shelter Partner,2812 Johnson Road,Huntsville,Alabama,35805,http://petsforpatriots.org/partners/greater-huntsville-humane-society/,34.691454,-86.600561
Gloucester-Mathews Humane Society,Shelter Partner,6620 Jackson Lane,Gloucester,Virginia,23061,http://petsforpatriots.org/partners/gloucester-mathews-humane-society/,37.3943107,-76.5195223
San Diego Humane Society and SPCA,Shelter Partner,5500 Gaines Street,San Diego,California,92110,,32.765796,-117.193684
Dixie County Humane Society,Shelter Partner,384 N.E. 80th Avenue,Old Town,Florida,32680,http://petsforpatriots.org/partners/dixie-county-humane-society/,29.6031023,-82.9845484
Angels of Assisi - shelter,Shelter Partner,415 Campbell Ave SW,Roanoke,Virginia,24016,http://petsforpatriots.org/partners/angels-of-assisi/,37.271554,-79.9493339
San Diego Humane Society and SPCA San Diego campus,Shelter Partner,5500 Gaines Street,San Diego,California,92110,http://petsforpatriots.org/partners/san-diego-humane-society-spca-san-diego/,32.765796,-117.193684
Tinker's Dream,Shelter Partner,167 E Grace Place,Denver,CO,80221,http://petsforpatriots.org/partners/tinkers-dream/,39.83387913,-104.9856425
PAWS Chicago,Shelter Partner,1997 N. Clybourn Ave,Chicago,Illinois,60614,http://petsforpatriots.org/partners/paws-chicago/,41.9176746,-87.6586814
Wild Blue Animal Rescue & Sanctuary,Shelter Partner,11235 S. Holmes Rd,Colorado Springs,Colorado,80908,http://petsforpatriots.org/wild-blue-animal-rescue-sanctuary/,38.994316,-104.71755
Stamford Animal Rescue,Shelter Partner,POB 3035,Stamford,Connecticut,6905,,41.07909,-73.54437
Catahoula Rescue SE,Shelter Partner,7040 Seminole Pratt Whitney Rd #25-119,Loxahatchee,Florida,33470,http://petsforpatriots.org/partners/catahoula-rescue-se/,26.7811163,-80.2929725
Lost Dog and Cat Rescue Foundation,Shelter Partner,P.O. Box 50037,Arlington,Virginia,22205,http://petsforpatriots.org/partners/lost-dog-and-cat-rescue-foundation/,38.88448,-77.13955
Baja Dog Rescue,Shelter Partner,4773 Bancroft Street #3,San Diego,California,92116,http://petsforpatriots.org/partners/baja-dog-rescue/,32.765172,-117.123598
Kentucky Humane Society,Shelter Partner,241 Steedly Drive,Louisville,Kentucky,40214,http://petsforpatriots.org/partners/kentucky-humane-society/,38.163013,-85.759948
Washington Humane Society,Shelter Partner,"4590 MacArthur Blvd, NW",Washington,DC,20007,http://petsforpatriots.org/partners/washington-humane-society/,38.909737,-77.088943
Washington Animal Rescue League,Shelter Partner,"71 Oglethorpe Street, N.W.",Washington,District of Columbia,20011,http://petsforpatriots.org/partners/washington-animal-rescue-league/,38.961372,-77.008475
North Florida Animal Rescue,Shelter Partner,16800 County Road 137,Wellborn,Florida,32094,http://petsforpatriots.org/partners/north-florida-animal-rescue/,30.14542426,-82.82943846
San Diego Humane Society and SPCA Escondido Campus,Shelter Partner,3450 E. Valley Parkway,Escondido,California,92027,http://petsforpatriots.org/escondido-humane-society/,33.159819,-117.0318708
Redlands Animal Shelter,Shelter Partner,504 N. Kansas Street,Redlands,California,92373,http://petsforpatriots.org/redlands-animal-shelter,34.05928623,-117.2042541
Orange County Humane Society,Shelter Partner,21632 Newland Street,Huntington Beach,California,92646,http://petsforpatriots.org/the-orange-county-humane-society/,33.648434,-117.979275
reTAILS,Shelter Partner,10202 E Washington St,Indianapolis,Indiana,46229,http://petsforpatriots.org/partners/retails/,39.7790352,-85.9864728
Labrador Retriever Rescue of Connecticut,Shelter Partner,P.O. Box 592,Essex,Connecticut,6426,http://petsforpatriots.org/partners/labrador-retriever-rescue-of-connecticut/,41.35145,-72.39055
Rescue A Golden of Arizona,Shelter Partner,PO Box 71987,Phoenix,Arizona,85050,http://petsforpatriots.org/partners/rescue-a-golden-of-arizona/,33.67642,-112.00225
Colorado Animal Welfare League,Shelter Partner,PO Box 1071,Englewood,Colorado,80150,http://petsforpatriots.org/partners/colorado-animal-welfare-league/,39.64761,-104.99856
Texas GSP Rescue,Shelter Partner,PO Box 17802,Austin,Texas,78760,http://petsforpatriots.org/partners/texas-gsp-rescue/,30.21035,-97.72657
Angels With Paws,Shelter Partner,2540 Youngfield Street,Lakewood,Colorado,80215,http://petsforpatriots.org/partners/angels-with-paws/,39.753312,-105.142107
Delaware Humane Association,Shelter Partner,701 A Street,Wilmington,Delaware,19801,http://petsforpatriots.org/partners/delaware-humane-association/,39.732525,-75.546919
Gwinnett Animal Hospital,Veterinary Partner,2184 McGee Road,Snellville,Georgia,30078,http://petsforpatriots.org/partners/gwinnett-animal-hospital/,33.854642,-84.033391
Loving Family Animal Hospital,Veterinary Partner,14605 E. Arapahoe Road Ste H.,Aurora,Colorado,80016,http://petsforpatriots.org/partners/loving-family-animal-hospital/,39.5956288,-104.8193893
West Lynn Veterinary Clinic,Veterinary Partner,709 West Lynn,Austin,Texas,78703,http://petsforpatriots.org/partners/west-lynn-veterinary-clinic/,30.27657,-97.761117
All Creatures Great & Small Veterinary Practice,Veterinary Partner,"4945 Forest Ave

820 Ogden Ave",Downers Grove,IL,60515,http://petsforpatriots.org/partners/all-creatures-great-small-veterinary-practice/,41.80841,-88.01595
Buckeye Veterinary Clinic,Veterinary Partner,3592 Manchester Road,Akron,Ohio,44319,http://petsforpatriots.org/partners/buckeye-veterinary-clinic/,41.002034,-81.556686
VCA Bolingbrook Animal Hospital,Veterinary Partner,570 Concord Lane,Bolingbrook,IL,60440,http://petsforpatriots.org/partners/vca-bolingbrook-animal-hospital/,41.717455,-88.069783
Gentle Goodbye Veterinary Hospice & At-home Euthanasia,Veterinary Partner,"65 High Ridge Rd, #183",Stamford,Connecticut,6905,http://petsforpatriots.org/partners/gentle-goodbye-veterinary-hospice-at-home-euthanasia/,41.07456326,-73.54881352
River City Community Animal Hospital,Veterinary Partner,"PO Box 551344
275 Corporate Way, Ste 200",Orange Park,Florida,32073,http://petsforpatriots.org/partners/river-city-community-animal-hospital/,30.16494,-81.73508
Killeen Veterinary Clinic,Veterinary Partner,"1321 Pershing Drive

2501 South W.S. Young Drive",Killeen,Texas,76542,http://petsforpatriots.org/partners/killeen-veterinary-clinic/,31.0569,-97.72876
Veterinary General,Veterinary Partner,53217 Hayes,Shelby Township,Michigan,48315,http://petsforpatriots.org/partners/veterinary-general/,42.68763974,-82.97585969
Lansing Veterinary Hospital,Veterinary Partner,109 Ida Street,Lansing,Kansas,66043,http://petsforpatriots.org/partners/lansing-veterinary-hospital/,39.251824,-94.901347
Middlehope Veterinary Hospital,Veterinary Partner,5349 Rte 9W,Newburgh,New York,12550,http://petsforpatriots.org/partners/middlehope-veterinary-hospital/,41.560476,-74.003867
Polo Road Animal Hospital,Veterinary Partner,1550 Polo Road,Grand Prairie,Texas,75052,http://petsforpatriots.org/partners/polo-road-animal-hospital/,32.658683,-97.024414
Animal Care Center,Veterinary Partner,698 West 500 South,West Bountiful,Utah,84087,http://petsforpatriots.org/partners/animal-care-center/,40.88448246,-111.8994766
Loma Linda Animal Hospital,Veterinary Partner,2605 S. Waterman Avenue,San Bernardino,California,92408,http://petsforpatriots.org/partners/loma-linda-animal-hospital/,34.053986,-117.278235
Otterkill Animal Hospital,Veterinary Partner,258 Maybrook Rd,Campbell Hall,New York,10916,http://petsforpatriots.org/partners/otterkill-animal-hospital/,41.471668,-74.231838
Habitat Veterinary Health Center,Veterinary Partner,3082 S Bown Way,Boise,Idaho,83706,http://petsforpatriots.org/partners/habitat-veterinary-health-center/,43.574239,-116.154422
Lifetime Pet Wellness Center,Veterinary Partner,454 Lazelle Road,Columbus,OH,43240,http://petsforpatriots.org/partners/lifetime-pet-wellness-center/,40.1363073,-82.9950638
Cabarrus Animal Hospital,Veterinary Partner,3030 S Cannon Blvd,Kannapolis,North Carolina,28083,http://petsforpatriots.org/partners/cabarrus-animal-hospital/,35.451813,-80.608813
Black Creek Veterinary Hospital,Veterinary Partner,4106 CR 218 West,Middleburg,Florida,32068,http://petsforpatriots.org/partners/black-creek-veterinary-hospital/,30.0635728,-81.8784239
Edmond East Animal Hospital,Veterinary Partner,5825 E. Covell Rd,Edmond,Oklahoma,73034,http://petsforpatriots.org/partners/edmond-east-animal-hospital/,35.68196713,-97.40518792
Animal Tracks Veterinary Hospital,Veterinary Partner,3112 Hwy 31 S,Decatur,Alabama,35603,http://petsforpatriots.org/partners/animal-tracks-veterinary-hospital/,34.549829,-86.972487
Arendell Animal Hospital,Veterinary Partner,213 Commerce Ave.,Morehead City,North Carolina,28557,http://petsforpatriots.org/partners/arendell-animal-hospital/,34.72781915,-76.74825133
4 Paws Animal Hospital,Veterinary Partner,16625 Dove Canyon Rd. Suite #106,San Diego,California,92127,http://petsforpatriots.org/partners/4-paws-animal-hospital/,33.015247,-117.110108
VCA Animal Care Associates,Veterinary Partner,2403 Boulevard,Colonial Heights,Virginia,23834,http://petsforpatriots.org/partners/vca-animal-care-associates/,37.262024,-77.411113
Kitsap Veterinary Hospital,Veterinary Partner,3036 Bethel Road SE,Port Orchard,Washington,98366,http://petsforpatriots.org/partners/kitsap-veterinary-hospital/,47.521146,-122.631986
The Animal Welfare League Veterinary Clinic,Veterinary Partner,10305 Southwest Highway,Chicago Ridge,Illinois,60415,http://petsforpatriots.org/partners/animal-welfare-league-vet-clinic-chicago/,41.703627,-87.787701
Cypress Creek Animal Hospital,Veterinary Partner,25227 Wesely Chapel Blvd,Lutz,Florida,33559,http://petsforpatriots.org/partners/cypress-creek-animal-hospital/,28.19877,-82.39909
Animal Medical Center of Skokie,Veterinary Partner,8343 Skokie Boulevard,Skokie,Illinois,60077,http://petsforpatriots.org/partners/animal-medical-center-of-skokie/,42.032938,-87.746786
Canandaigua Veterinary Hospital,Veterinary Partner,4410 Lakeshore Drive,Canandaigua,NY,14424,http://petsforpatriots.org/partners/canandaigua-veterinary-hospital/,42.83755,-77.29259
Jarrettsville Veterinary Center,Veterinary Partner,3961 Norrisville Rd.,Jarrettsville,Maryland,21084,http://petsforpatriots.org/partners/jarrettsville-veterinary-center/,39.61187875,-76.50232693
Turkey Creek Animal Hospital,Veterinary Partner,4645 US Hwy 92 W,Plant City,Florida,33563,http://petsforpatriots.org/partners/turkey-creek-animal-hospital/,28.019731,-82.174143
ACCES Animal Critical Care & Emergency Services,Veterinary Partner,11536 Lake City Way NE,Seattle,Washington,98125,http://petsforpatriots.org/partners/acces-animal-critical-care-emergency-services/,47.71314999,-122.2985873
Liverpool Village Animal Hospital,Veterinary Partner,6770 Onondaga Lake Parkway,Liverpool,New York,13088,http://petsforpatriots.org/partners/liverpool-village-animal-hospital/,43.0996585,-76.201811
Humane Society of the Huron Valley Veterinary Clinic,Veterinary Partner,3100 Cherry Hill Road,Ann Arbor,Michigan,48105,http://petsforpatriots.org/partners/humane-society-of-huron-valley-veterinary-clinic/,42.306812,-83.655359
Pets & Friends Animal Hospital,Veterinary Partner,3625 Baltimore Avenue,Pueblo,Colorado,81008-1522,http://petsforpatriots.org/partners/pets-friends-animal-hospital/,38.3091574,-104.6357589
Wilderness Animal Hospital,Veterinary Partner,"23714 222nd Place SW, Suite L",Maple Valley,Washington,98038,http://petsforpatriots.org/partners/wilderness-animal-hospital/,47.3880399,-122.04581
Parkway Animal Hospital,Veterinary Partner,629 N. Carrier Parkway,Grand Prairie,Texas,75050,https://petsforpatriots.org/partners/parkway-animal-hospital/,32.748345,-97.017482
Buckley Veterinary Hospital,Veterinary Partner,28801 State Route 410 E,Buckley,Washington,98321,http://petsforpatriots.org/partners/buckley-veterinary-hospital/,47.159061,-122.045303
Veterinary Surgical Center,Veterinary Partner,2239 South Kanner Highway,Stuart,Florida,34994,http://petsforpatriots.org/partners/veterinary-surgical-center/,27.1771,-80.252412
Pellissippi Veterinary Hospital,Veterinary Partner,1727 Schaeffer Road,Knoxville,Tennessee,37932,http://petsforpatriots.org/partners/pellissippi-veterinary-hospital/,35.9389179,-84.1484296
El Cajon Valley Veterinary Hospital,Veterinary Partner,560 N. Johnson Ave,El Cajon,CA,92020,http://petsforpatriots.org/partners/el-cajon-valley-veterinary-hospital/,32.801201,-116.971583
Animal Medical Center of Bel Air,Veterinary Partner,142B North Bond Street,Bel Air,Maryland,21014,http://petsforpatriots.org/partners/animal-medical-center-of-bel-air/,39.53826058,-76.35322247
