"","x"
"1398",May 2007
"1399",May 2009
"1400",Oct 2009
"1401",Jul 2008
"1402",Apr 2008
"1403",Jul 2006
"1404",Aug 2007
"1405",Jan 2006
"1406",Jan 2008
"1407",Mar 2009
"1408",Mar 2009
"1409",Jun 2010
"1410",Nov 2008
"1411",Jun 2009
"1412",Sep 2009
"1413",Jun 2009
"1414",Sep 2009
"1415",Jun 2008
"1416",May 2009
"1417",Apr 2010
"1418",May 2009
"1419",Aug 2008
"1420",Dec 2006
"1421",May 2006
"1422",Jul 2010
"1423",Mar 2008
"1424",Aug 2006
"1425",Jun 2007
"1426",Oct 2008
"1427",Aug 2008
"1428",Apr 2008
"1429",Feb 2010
"1430",Apr 2007
"1431",Jul 2006
"1432",Oct 2009
"1433",Aug 2007
"1434",May 2008
"1435",May 2006
"1436",Jul 2008
"1437",May 2007
"1438",Nov 2008
"1439",Apr 2010
"1440",Nov 2007
"1441",Sep 2008
"1442",May 2008
"1443",Apr 2009
"1444",May 2009
"1445",Nov 2007
"1446",May 2007
"1447",Apr 2010
"1448",Dec 2007
"1449",May 2007
"1450",Aug 2006
"1451",Sep 2009
"1452",May 2009
"1453",May 2006
"1454",Jul 2006
"1455",Oct 2009
"1456",Aug 2007
"1457",Feb 2010
"1458",May 2010
"1459",Apr 2010
"1460",Jun 2008
